age,type,origin,rarity
43,0,1,0.984974
37,2,0,0.985056
49,3,2,0.985205
60,1,1,0.985216
36,3,1,0.985371
43,1,5,0.985401
34,1,2,0.985467
43,4,1,0.985615
46,1,6,0.985625
39,2,0,0.985705
51,2,2,0.985744
35,2,3,0.985792
40,0,2,0.985816
62,1,1,0.98586
49,1,3,0.985954
46,2,1,0.986052
43,0,3,0.986149
50,0,4,0.98617
39,1,4,0.986238
44,0,6,0.986366
51,0,4,0.986493
48,0,1,0.986593
49,0,1,0.986916
39,1,2,0.987091
44,0,2,0.987113
51,3,3,0.987135
66,1,1,0.987148
42,3,1,0.987319
44,2,0,0.987327
50,2,1,0.987347
58,2,4,0.987469
60,3,4,0.987471
43,1,4,0.987536
53,3,3,0.987783
55,0,4,0.987787
59,2,4,0.987792
61,3,4,0.987793
53,1,6,0.98789
44,0,5,0.987968
46,2,0,0.987976
49,0,6,0.987986
50,1,0,0.987989
56,4,2,0.988003
51,1,0,0.988313
60,4,6,0.98833
57,0,4,0.988433
57,1,3,0.98854
46,0,5,0.988617
48,2,0,0.988624
58,0,4,0.988757
53,4,1,0.988854
45,2,3,0.98904
49,1,4,0.989484
51,3,0,0.98949
49,4,5,0.989591
61,0,4,0.989727
59,0,0,0.990153
58,1,5,0.990259
62,2,5,0.990265
56,0,3,0.990361
52,4,5,0.990564
64,1,3,0.990804
61,2,1,0.990908
63,3,3,0.991018
67,3,2,0.991021
68,4,0,0.991021
66,4,2,0.991236
55,3,6,0.991538
55,0,5,0.991538
55,4,5,0.991538
61,1,0,0.991552
67,4,2,0.991559
56,0,5,0.991862
64,2,1,0.991879
74,3,4,0.991989
66,4,3,0.992096
57,3,6,0.992187
68,2,5,0.992205
71,2,2,0.992206
60,0,2,0.992302
62,0,3,0.992306
75,3,4,0.992311
67,3,3,0.992312
66,0,1,0.992419
67,4,3,0.99242
69,1,3,0.992421
58,3,1,0.992512
58,4,5,0.992512
56,2,3,0.992613
74,2,4,0.992636
59,3,6,0.992836
61,2,0,0.992841
74,4,0,0.992959
69,1,6,0.993067
63,3,5,0.993167
65,0,6,0.993171
63,2,6,0.993382
67,4,1,0.993388
69,0,0,0.99339
71,1,6,0.993714
61,4,4,0.993807
62,4,5,0.99381
69,1,5,0.993821
60,1,2,0.993912
76,3,2,0.993929
74,0,4,0.99393
63,1,4,0.994027
65,3,0,0.994031
65,2,6,0.994031
78,4,6,0.994143
64,1,4,0.994351
69,0,6,0.994467
74,3,3,0.994577
70,0,6,0.994791
72,4,1,0.995008
81,4,6,0.995112
91,1,1,0.995197
84,3,4,0.995216
69,3,0,0.995328
67,3,6,0.995433
70,3,5,0.995437
92,1,1,0.995519
65,1,2,0.995536
83,2,4,0.995542
82,4,0,0.995543
74,1,0,0.995763
66,1,2,0.995861
73,0,3,0.995871
77,0,0,0.995979
74,0,3,0.996195
72,3,0,0.996301
68,1,2,0.996511
85,4,0,0.996512
83,4,2,0.996732
96,1,1,0.996807
69,1,2,0.996835
80,0,1,0.99695
97,1,1,0.997129
81,0,0,0.997274
81,2,1,0.997382
76,3,5,0.997382
88,4,0,0.997482
86,0,4,0.99781
84,1,6,0.997921
89,2,2,0.998021
85,4,3,0.998244
84,2,1,0.998353
76,3,6,0.998354
81,0,6,0.998355
86,3,3,0.99846
86,1,6,0.998568
88,2,5,0.998673
82,0,3,0.998787
80,0,2,0.998787
596,3,1,0.998889
86,0,1,0.998893
86,0,0,0.998893
92,2,2,0.998991
78,0,5,0.999003
92,3,2,0.999099
78,4,4,0.999327
95,2,4,0.999417
94,4,0,0.99942
77,2,3,0.999434
86,1,0,0.99965
85,0,6,0.999651
94,3,2,0.999745
90,1,6,0.999862
83,3,0,0.999869
87,1,0,0.999974
80,4,4,0.999976
107,1,1,1.00035
87,0,3,1.00041
80,2,3,1.00041
85,0,2,1.00041
91,0,0,1.00051
97,3,2,1.00071
93,3,3,1.00072
92,0,0,1.00083
90,1,0,1.00095
94,3,3,1.00105
92,1,5,1.00127
87,2,0,1.00127
85,4,5,1.00127
83,1,2,1.00138
92,4,1,1.00149
94,2,1,1.00159
96,3,3,1.00169
87,3,6,1.00192
87,4,5,1.00192
102,4,0,1.002
85,2,3,1.00203
88,1,4,1.00214
99,2,5,1.00223
94,1,0,1.00224
92,3,5,1.00257
89,3,6,1.00257
104,4,0,1.00265
103,3,2,1.00265
94,0,3,1.00268
97,1,0,1.00321
91,4,5,1.00322
107,4,6,1.00351
98,1,0,1.00354
108,2,4,1.00361
95,2,0,1.00387
91,1,2,1.00398
97,3,5,1.00419
110,2,4,1.00426
106,0,4,1.00428
97,0,2,1.0043
97,3,0,1.00441
107,4,2,1.00449
95,0,5,1.00452
94,4,4,1.00452
105,4,3,1.00472
105,1,6,1.00472
108,4,2,1.00481
96,0,5,1.00484
94,1,2,1.00496
103,4,1,1.00505
97,1,4,1.00506
104,1,5,1.00515
102,0,3,1.00527
95,2,3,1.00528
100,2,6,1.00538
110,0,4,1.00557
110,1,3,1.00568
107,0,1,1.00569
101,2,6,1.00571
109,3,3,1.0059
97,2,3,1.00593
107,1,5,1.00613
98,1,2,1.00625
103,3,0,1.00635
115,2,2,1.00642
101,4,5,1.00647
104,0,2,1.00657
113,1,3,1.00665
117,4,0,1.00685
109,1,0,1.0071
115,0,4,1.00719
122,3,4,1.00748
117,4,2,1.00772
120,4,0,1.00782
108,0,2,1.00787
115,4,3,1.00795
114,0,0,1.00796
120,2,2,1.00804
113,1,5,1.00807
109,0,2,1.00819
109,2,0,1.00841
114,1,0,1.00872
110,2,0,1.00873
126,3,4,1.00877
109,0,5,1.00906
122,4,2,1.00934
118,2,1,1.00936
117,1,5,1.00936
117,4,1,1.00958
113,3,0,1.0096
111,4,5,1.00971
129,3,4,1.00974
120,0,0,1.0099
118,4,1,1.00991
112,1,4,1.00993
118,1,0,1.01002
115,3,5,1.01003
115,0,2,1.01014
115,2,0,1.01036
131,3,4,1.01038
125,1,3,1.01053
123,4,3,1.01054
122,0,1,1.01055
120,4,1,1.01055
116,2,6,1.01057
128,3,2,1.01073
117,0,2,1.01079
118,0,2,1.01111
113,1,2,1.01113
119,3,5,1.01133
118,2,0,1.01133
132,2,4,1.01136
114,2,3,1.01145
117,4,5,1.01166
127,3,3,1.01172
126,0,1,1.01184
117,4,4,1.01199
131,0,4,1.01236
124,0,3,1.0124
145,1,1,1.01258
130,4,3,1.01281
121,1,4,1.01285
137,2,4,1.01298
124,2,6,1.01317
134,4,2,1.01322
133,2,5,1.01323
130,2,1,1.01324
122,3,1,1.01328
150,1,1,1.01419
125,3,6,1.01426
135,3,3,1.01431
135,1,6,1.01442
133,1,5,1.01455
141,2,2,1.01482
143,2,4,1.01492
142,4,0,1.01492
125,1,2,1.01502
153,1,1,1.01516
128,4,5,1.01523
129,3,1,1.01556
155,1,1,1.0158
146,2,4,1.01589
140,0,1,1.01637
134,3,0,1.01641
132,3,6,1.01653
146,3,2,1.01655
137,0,3,1.01661
142,4,3,1.01669
135,2,6,1.01673
151,3,4,1.01684
132,4,4,1.01686
143,4,3,1.01701
142,0,1,1.01702
142,2,1,1.01713
148,3,2,1.01719
149,2,2,1.01741
140,0,6,1.01747
153,3,4,1.01748
137,2,0,1.01749
145,3,3,1.01755
145,4,3,1.01766
136,1,4,1.01772
151,4,6,1.01772
146,3,3,1.01787
139,0,2,1.01792
145,0,1,1.01799
142,0,3,1.01823
140,2,6,1.01835
143,0,6,1.01845
140,2,0,1.01846
138,0,5,1.01848
152,3,2,1.01849
150,2,5,1.01872
146,1,5,1.01876
139,0,5,1.0188
151,0,4,1.01883
149,1,6,1.01895
151,2,5,1.01905
143,3,5,1.01911
140,3,1,1.01913
156,4,6,1.01934
148,1,5,1.0194
159,3,4,1.01942
154,4,2,1.01969
142,3,6,1.01977
157,4,2,1.02066
156,2,5,1.02066
160,4,0,1.02074
150,0,3,1.02082
161,4,6,1.02095
149,3,5,1.02105
146,0,5,1.02107
146,3,1,1.02107
156,1,6,1.02122
152,0,6,1.02136
159,2,5,1.02163
148,0,5,1.02172
157,0,1,1.02187
151,3,0,1.02192
152,3,5,1.02203
149,4,5,1.02205
158,0,1,1.0222
164,3,2,1.02236
160,4,3,1.02251
159,0,0,1.02252
157,4,1,1.02254
158,1,5,1.02264
165,3,2,1.02269
177,1,1,1.02289
157,0,6,1.02298
152,3,1,1.02302
178,1,1,1.02321
158,0,3,1.02342
163,1,6,1.02348
169,4,6,1.02353
156,2,0,1.02365
154,4,4,1.024
164,0,1,1.02414
181,1,1,1.02417
158,3,0,1.02419
155,4,4,1.02433
165,0,0,1.02446
155,1,2,1.02477
168,3,3,1.02499
161,0,2,1.02505
174,4,0,1.02526
159,3,6,1.02529
169,3,3,1.02531
171,2,5,1.02552
158,1,2,1.02574
170,1,6,1.02575
175,2,2,1.02581
163,2,6,1.02581
173,4,2,1.02583
166,0,6,1.0259
176,4,0,1.02591
176,2,2,1.02613
178,2,4,1.02622
172,4,3,1.0264
170,1,5,1.02653
163,3,6,1.02659
172,0,1,1.02673
178,2,2,1.02678
178,3,2,1.02689
174,3,3,1.02693
174,1,6,1.02704
180,4,6,1.02709
168,3,5,1.02721
168,0,2,1.02732
172,4,1,1.0274
173,1,5,1.0275
169,3,5,1.02754
166,3,1,1.02756
169,3,0,1.02776
174,1,5,1.02782
179,0,4,1.02788
170,0,2,1.02797
170,3,0,1.02808
180,4,2,1.02809
183,4,0,1.02817
180,0,4,1.0282
166,2,3,1.02834
183,2,2,1.02839
171,2,0,1.02852
178,0,1,1.02867
188,3,4,1.02878
176,1,0,1.0288
184,3,2,1.02883
170,3,6,1.02886
168,2,3,1.02899
171,1,4,1.02908
189,3,4,1.0291
179,2,1,1.02911
171,4,5,1.02919
172,1,4,1.0294
182,4,3,1.02963
179,4,1,1.02966
184,2,5,1.02972
182,2,1,1.03008
177,0,2,1.03024
172,2,3,1.03029
175,4,5,1.03049
185,3,3,1.03049
184,0,0,1.03061
178,3,0,1.03068
188,0,4,1.03079
181,0,3,1.03087
179,3,0,1.031
191,3,2,1.03109
177,0,5,1.03113
176,4,4,1.03114
180,0,2,1.03122
192,2,2,1.0313
190,2,5,1.03166
179,4,5,1.03178
189,3,3,1.03178
192,4,2,1.03197
182,2,6,1.03198
195,2,2,1.03227
196,4,0,1.03237
207,1,1,1.03255
190,0,1,1.03256
185,3,5,1.03273
187,0,3,1.03281
191,2,1,1.03299
183,0,5,1.03308
181,2,3,1.03321
192,2,1,1.03332
187,3,5,1.03337
184,3,6,1.03341
193,0,0,1.03353
185,3,1,1.03373
194,0,0,1.03385
200,2,2,1.03388
198,4,2,1.03391
187,4,5,1.03438
185,2,3,1.03451
200,4,2,1.03456
188,1,4,1.03459
196,2,1,1.03461
200,1,3,1.03478
197,0,1,1.03482
194,0,6,1.03497
199,3,3,1.03502
189,4,5,1.03503
205,4,0,1.03527
196,1,0,1.03528
190,3,6,1.03535
197,4,1,1.03549
193,3,0,1.03554
199,2,1,1.03558
191,3,6,1.03568
196,0,3,1.03573
200,0,1,1.03579
210,3,4,1.03588
206,3,2,1.03594
204,2,5,1.03619
195,3,0,1.03619
193,4,5,1.03633
196,0,2,1.0364
196,3,0,1.03652
212,3,4,1.03652
194,1,4,1.03654
197,0,2,1.03673
204,4,3,1.03675
213,3,4,1.03684
195,3,1,1.03698
205,1,6,1.03707
202,4,1,1.03711
199,0,2,1.03738
199,2,6,1.03749
213,2,4,1.03752
209,0,4,1.03758
200,0,2,1.0377
210,4,2,1.03779
205,1,5,1.03786
207,0,1,1.03806
211,4,2,1.03811
204,0,3,1.03832
208,2,1,1.03849
215,2,2,1.03873
213,2,5,1.0391
202,4,5,1.03925
218,4,6,1.03936
217,3,2,1.03949
205,2,0,1.03955
203,3,6,1.03957
208,0,3,1.03962
206,3,0,1.03976
212,2,1,1.03979
211,1,5,1.0398
209,0,6,1.03983
207,0,2,1.03997
213,0,1,1.04
214,2,1,1.04044
213,1,5,1.04045
211,0,6,1.04048
211,0,3,1.04059
213,1,0,1.04079
207,3,6,1.04087
233,1,1,1.04092
205,2,3,1.04101
210,3,0,1.04106
208,3,6,1.0412
218,1,6,1.04128
221,4,2,1.04135
224,4,0,1.04141
235,1,1,1.04156
214,0,3,1.04156
224,2,2,1.04164
228,3,4,1.04168
224,3,2,1.04175
226,4,6,1.04194
225,3,2,1.04207
221,3,3,1.04214
211,4,5,1.04217
226,2,2,1.04228
223,2,5,1.04233
225,4,2,1.04264
215,2,6,1.04268
223,3,3,1.04279
239,1,1,1.04285
226,0,4,1.04308
227,0,4,1.0434
220,0,3,1.04351
213,1,2,1.04361
228,4,2,1.04361
216,0,5,1.04379
219,0,2,1.04386
226,4,3,1.04387
217,3,1,1.04412
243,1,1,1.04414
226,0,1,1.04421
236,3,4,1.04427
229,2,5,1.04427
244,1,1,1.04446
222,3,0,1.04495
222,2,6,1.04495
223,3,5,1.04505
246,1,1,1.0451
233,4,2,1.04523
228,1,5,1.04531
230,2,1,1.04562
241,3,4,1.04588
235,1,3,1.0461
232,0,1,1.04615
221,2,3,1.04621
238,3,2,1.04628
224,0,5,1.04639
232,1,5,1.0466
228,2,6,1.04689
237,1,6,1.04743
225,1,2,1.04751
230,2,0,1.04766
241,0,4,1.04793
245,4,6,1.04808
239,0,0,1.04842
242,2,5,1.04848
247,4,6,1.04873
250,3,4,1.04878
229,2,3,1.0488
246,3,2,1.04886
239,1,5,1.04887
232,1,4,1.04887
237,0,6,1.0489
242,4,3,1.04905
241,0,0,1.04906
244,2,5,1.04912
241,2,1,1.04918
247,3,2,1.04918
541,1,2,1.04919
242,0,1,1.04939
242,0,0,1.04939
237,2,6,1.04981
238,3,5,1.04991
235,4,5,1.04996
254,3,4,1.05008
251,4,0,1.05013
245,0,1,1.05036
234,2,3,1.05043
253,2,4,1.05044
237,4,5,1.05061
237,3,6,1.05061
253,4,6,1.05067
246,0,1,1.05068
253,4,0,1.05078
238,0,5,1.05093
241,0,2,1.051
253,2,2,1.05101
265,1,1,1.05122
249,4,3,1.05131
249,1,6,1.05131
248,0,1,1.05133
250,3,3,1.05152
242,2,0,1.05155
252,1,3,1.0516
253,4,2,1.05169
243,2,6,1.05176
249,2,1,1.05177
253,0,4,1.05181
239,1,2,1.05205
250,2,1,1.05209
254,0,4,1.05213
242,3,1,1.05223
249,4,1,1.05234
258,4,0,1.05239
257,3,2,1.05241
255,0,4,1.05245
269,1,1,1.05251
259,4,6,1.0526
253,4,3,1.05261
259,4,0,1.05272
270,1,1,1.05283
246,2,0,1.05285
243,4,4,1.0529
262,2,4,1.05334
248,2,6,1.05338
251,0,6,1.05344
255,0,1,1.0536
244,2,3,1.05368
257,3,3,1.05379
263,4,6,1.0539
260,4,2,1.05396
254,4,1,1.05396
248,3,6,1.05418
260,1,3,1.05418
264,4,6,1.05422
257,0,0,1.05424
261,0,4,1.05439
265,4,6,1.05454
252,3,0,1.05468
258,2,1,1.05468
259,0,0,1.05489
248,1,2,1.05498
266,4,0,1.05498
253,3,0,1.055
259,2,1,1.055
260,0,1,1.05521
258,4,1,1.05525
266,3,2,1.05532
257,0,6,1.05539
278,1,1,1.0554
251,4,4,1.05549
268,4,6,1.05551
253,1,4,1.05569
269,4,6,1.05583
256,2,0,1.05609
254,3,1,1.05613
264,4,3,1.05617
264,1,6,1.05617
263,0,1,1.05618
257,0,2,1.05619
262,4,1,1.05655
258,2,0,1.05674
272,4,6,1.0568
259,2,0,1.05706
262,0,3,1.05712
273,4,6,1.05713
260,2,6,1.05727
265,1,5,1.05729
258,3,6,1.05742
268,1,6,1.05746
277,3,4,1.0575
270,2,5,1.05753
285,1,1,1.05766
265,0,6,1.05798
272,1,3,1.05806
260,3,1,1.05807
269,0,0,1.05813
258,1,2,1.05822
261,1,4,1.05828
264,3,5,1.05834
263,2,0,1.05836
278,4,6,1.05874
272,4,3,1.05875
265,0,2,1.05878
260,1,2,1.05887
275,1,3,1.05904
279,4,6,1.05906
268,0,3,1.05906
273,4,3,1.05908
272,0,1,1.0591
276,4,2,1.05913
275,2,5,1.05915
264,3,1,1.05937
271,4,1,1.05946
276,2,5,1.05947
271,1,0,1.05958
270,0,6,1.0596
265,0,5,1.0597
271,0,6,1.05992
266,0,5,1.06002
276,1,6,1.06005
281,3,2,1.06017
264,1,2,1.06017
274,1,5,1.0602
273,1,0,1.06023
277,3,3,1.06026
270,3,5,1.06029
279,1,3,1.06033
283,4,6,1.06035
272,0,3,1.06036
280,1,3,1.06065
281,4,2,1.06075
274,0,6,1.06089
268,4,4,1.06101
289,3,4,1.06137
277,1,0,1.06152
276,0,6,1.06154
283,1,3,1.06162
271,3,6,1.06164
276,0,3,1.06166
275,3,5,1.06191
287,2,2,1.06199
280,1,5,1.06215
279,1,0,1.06217
276,3,5,1.06223
283,1,6,1.06231
277,0,2,1.06267
287,4,2,1.06268
278,0,2,1.063
288,1,3,1.06324
286,1,6,1.06328
275,4,4,1.06329
277,3,6,1.06359
284,1,0,1.06379
290,1,3,1.06389
287,2,1,1.06407
276,1,2,1.06407
281,3,0,1.06408
295,4,6,1.06423
279,4,5,1.06424
294,2,2,1.06425
298,3,4,1.06427
296,2,4,1.06432
277,2,3,1.0644
299,3,4,1.0646
288,1,5,1.06474
281,1,4,1.06477
298,4,6,1.0652
281,4,4,1.06523
280,2,3,1.06537
289,1,0,1.06541
302,3,4,1.06556
292,0,1,1.06557
286,2,6,1.0657
294,4,3,1.06587
304,3,4,1.06621
288,2,6,1.06635
305,3,4,1.06653
295,2,1,1.06666
313,1,1,1.06667
289,3,0,1.06668
287,1,4,1.06672
287,0,5,1.06684
296,0,1,1.06687
296,0,0,1.06687
302,3,2,1.06696
285,1,2,1.06699
300,0,4,1.067
295,1,5,1.06701
298,3,3,1.06705
295,4,1,1.06724
286,1,2,1.06732
295,1,0,1.06735
301,1,3,1.06744
289,0,5,1.06749
289,4,5,1.06749
299,4,3,1.06749
306,4,6,1.06778
289,4,4,1.06783
301,3,3,1.06802
318,1,1,1.06828
302,1,6,1.06846
300,1,5,1.06862
303,4,3,1.06878
296,0,2,1.06883
302,2,1,1.06892
301,1,5,1.06895
310,4,6,1.06908
294,4,5,1.06911
305,1,6,1.06943
305,4,3,1.06943
308,4,2,1.06947
323,1,1,1.06989
300,3,5,1.07001
311,4,2,1.07044
310,2,5,1.07047
296,2,3,1.07057
314,3,2,1.07083
319,3,4,1.07105
299,4,4,1.07108
313,0,4,1.07121
298,1,2,1.07122
318,2,4,1.07143
311,0,0,1.07172
301,4,4,1.07173
319,2,4,1.07175
317,3,2,1.0718
305,2,6,1.07187
313,4,3,1.07202
303,4,5,1.07203
306,2,6,1.07219
314,3,3,1.07223
314,1,6,1.07234
309,0,3,1.07235
307,0,2,1.0724
315,4,3,1.07267
318,0,4,1.07282
313,1,5,1.07283
308,3,0,1.07284
322,4,6,1.07295
316,1,6,1.07299
333,1,1,1.07311
315,2,1,1.07313
319,1,3,1.07326
322,3,2,1.07342
320,0,4,1.07347
315,1,5,1.07348
314,1,0,1.07351
327,3,4,1.07363
317,0,0,1.07366
321,4,2,1.07368
316,1,5,1.07381
866,2,1,1.07389
319,1,6,1.07396
309,3,1,1.07398
317,1,5,1.07413
326,4,6,1.07424
325,2,2,1.07427
310,4,5,1.0743
313,0,2,1.07435
317,1,0,1.07448
321,3,3,1.07449
324,0,4,1.07476
319,1,5,1.07478
317,0,6,1.07483
314,2,0,1.0749
310,2,3,1.07511
319,1,0,1.07513
322,2,1,1.0754
321,1,5,1.07542
317,3,5,1.07553
329,2,2,1.07556
327,4,2,1.07562
331,2,4,1.07562
325,3,3,1.07579
328,0,4,1.07606
323,1,0,1.07642
317,1,4,1.07646
332,2,2,1.07653
326,0,0,1.07658
332,3,2,1.07665
330,0,4,1.0767
325,1,5,1.07672
333,2,2,1.07685
318,0,5,1.0769
330,2,5,1.07694
321,2,6,1.07706
346,1,1,1.0773
322,2,6,1.07738
317,2,3,1.07739
339,3,4,1.0775
325,0,3,1.07754
320,3,1,1.07755
321,3,6,1.07787
330,0,0,1.07787
328,4,1,1.07792
328,1,0,1.07804
325,3,5,1.07812
322,4,5,1.0782
321,4,4,1.07822
329,4,1,1.07825
325,3,0,1.07835
320,1,2,1.07836
338,2,2,1.07847
334,3,3,1.0787
336,1,3,1.07876
326,2,0,1.07879
333,0,0,1.07884
324,3,6,1.07885
324,4,5,1.07885
327,0,2,1.07889
322,1,2,1.07901
331,1,0,1.07901
325,0,5,1.07917
334,2,1,1.07928
338,0,4,1.07929
323,2,3,1.07934
326,3,1,1.07949
338,2,5,1.07952
353,1,1,1.07955
329,2,6,1.07965
327,1,4,1.0797
330,3,5,1.07974
336,0,0,1.07981
327,0,5,1.07982
340,4,2,1.07982
344,2,4,1.07982
325,2,3,1.07999
328,1,4,1.08003
340,1,3,1.08005
337,0,0,1.08014
328,3,6,1.08014
341,0,4,1.08026
341,1,3,1.08038
329,3,6,1.08047
344,3,2,1.08053
349,3,4,1.08073
328,1,2,1.08096
334,3,5,1.08104
346,2,2,1.08106
330,4,4,1.08114
358,1,1,1.08116
337,0,6,1.08131
332,3,1,1.08144
348,4,0,1.08147
330,2,3,1.08161
342,0,1,1.08176
342,2,1,1.08187
346,0,4,1.08188
349,2,2,1.08202
343,0,0,1.08208
351,2,4,1.08208
342,1,5,1.08223
345,1,6,1.08238
362,1,1,1.08245
355,3,4,1.08267
349,0,4,1.08285
346,0,1,1.08305
353,4,0,1.08308
336,4,4,1.08309
340,2,6,1.08322
343,0,6,1.08325
349,4,3,1.08367
346,4,1,1.08376
350,1,6,1.08399
357,2,4,1.08402
358,2,4,1.08434
348,4,1,1.0844
357,2,2,1.08461
352,1,6,1.08464
351,0,1,1.08467
355,1,3,1.0849
343,3,1,1.08501
350,1,0,1.08517
354,3,3,1.08517
344,4,5,1.08534
347,0,2,1.08537
352,1,5,1.08546
345,3,6,1.08566
353,1,5,1.08579
361,2,2,1.0859
362,4,0,1.08599
354,1,5,1.08611
349,3,0,1.08614
374,1,1,1.08631
358,3,3,1.08646
364,4,6,1.08652
365,2,4,1.0866
360,2,5,1.08664
361,0,4,1.08673
351,2,0,1.0869
360,3,3,1.08711
366,4,6,1.08716
362,1,3,1.08717
353,3,0,1.08743
363,1,3,1.08749
379,1,1,1.08792
368,2,2,1.08816
360,1,0,1.08841
357,0,2,1.08861
352,2,3,1.08876
355,4,5,1.08891
375,3,4,1.08912
358,2,0,1.08917
359,3,0,1.08938
375,2,4,1.08983
374,4,0,1.08986
361,2,6,1.09003
372,4,2,1.09017
386,1,1,1.09018
374,3,2,1.09022
363,3,5,1.09044
387,1,1,1.0905
360,4,5,1.09053
360,3,1,1.09053
371,1,6,1.09079
376,3,2,1.09087
364,3,0,1.091
379,2,4,1.09112
389,1,1,1.09114
362,0,5,1.09118
362,3,1,1.09118
365,0,2,1.09121
365,3,0,1.09133
368,0,6,1.09135
379,4,0,1.09148
375,2,5,1.09149
370,4,1,1.09153
376,0,4,1.09158
371,1,5,1.09162
379,2,2,1.09172
374,4,3,1.09176
379,3,2,1.09184
381,4,6,1.09201
365,4,5,1.09215
368,0,2,1.09218
372,1,0,1.09229
377,1,6,1.09273
369,2,0,1.09274
382,3,2,1.0928
380,0,4,1.09287
395,1,1,1.09307
367,4,4,1.09316
371,2,6,1.09327
366,2,3,1.0933
379,1,6,1.09338
382,4,2,1.0934
374,0,3,1.09342
384,3,2,1.09345
380,3,3,1.09358
372,3,0,1.0936
389,3,4,1.09364
387,2,4,1.09371
397,1,1,1.09372
386,3,2,1.0941
371,3,1,1.0941
369,2,3,1.09428
372,1,4,1.09431
375,3,5,1.09433
389,2,4,1.09435
379,4,1,1.09444
385,0,4,1.09449
376,3,5,1.09466
375,2,0,1.09469
401,1,1,1.09501
390,2,2,1.09527
386,4,3,1.09564
392,2,2,1.09592
380,3,5,1.09595
385,1,5,1.09615
388,3,3,1.09617
378,1,4,1.09625
387,0,1,1.09632
398,3,4,1.09654
376,2,3,1.09655
388,0,0,1.09665
407,1,1,1.09694
391,3,3,1.09714
381,1,4,1.09723
398,2,4,1.09726
397,4,0,1.09729
381,4,5,1.09735
392,3,3,1.09746
387,0,6,1.09751
409,1,1,1.09758
392,4,3,1.09758
382,4,5,1.09767
391,2,1,1.09774
388,0,6,1.09783
403,3,4,1.09816
389,0,6,1.09816
387,3,5,1.09822
391,4,1,1.09833
383,4,4,1.09835
387,2,6,1.09846
401,4,6,1.09847
402,2,4,1.09855
398,4,2,1.09857
397,2,5,1.09861
413,1,1,1.09887
399,4,2,1.09889
401,3,2,1.09894
389,3,0,1.09911
399,1,3,1.09913
397,1,6,1.0992
397,4,3,1.0992
402,3,2,1.09927
400,0,4,1.09934
393,0,6,1.09945
385,2,3,1.09947
397,0,1,1.09956
391,2,0,1.09988
404,3,2,1.09991
388,4,4,1.09997
407,2,4,1.10017
403,4,2,1.10019
404,4,2,1.10051
